timestamp,item,time_ms,percentage,source
2025-07-23 23:12:13,"002.723: require('diffview.logger')",16.302,1.5%,profile
2025-07-23 23:12:11,"002.487: require('pieces.copilot.copilot_ui')",16.187,1.5%,profile
2025-07-23 23:12:10,"004.219: require('telescope._extensions.git_signs')",16.157,1.5%,profile
2025-07-23 23:12:11,"000.870: require('pieces.copilot.slash_commands')",16.150,1.5%,profile
2025-07-23 23:12:11,"000.730: sourcing /Users/joshpeterson/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim",16.148,1.5%,profile
2025-07-23 23:12:11,"004.042: require('luasnip.loaders')",16.142,1.5%,profile
2025-07-23 23:12:09,"004.454: require('multicursors')",16.140,1.5%,profile
2025-07-23 23:12:13,"000.977: require('kulala.augroups')",16.059,1.5%,profile
2025-07-23 23:12:12,"002.773: require('fzf-lua')",16.032,1.5%,profile
2025-07-23 23:12:11,"015.957: require('mason-nvim-dap.mappings.configurations')",15.957,1.5%,profile
2025-07-23 23:12:11,"000.796: require('cmp.utils.window')",15.805,1.5%,profile
2025-07-23 23:12:10,"003.557: require('telescope._extensions.git_signs')",15.711,1.5%,profile
2025-07-23 23:12:13,"003.895: require('telescope.actions')",15.623,1.5%,profile
2025-07-23 23:12:11,"002.085: require('cmp')",15.590,1.5%,profile
2025-07-23 23:12:13,"002.394: require('cmp')",15.577,1.5%,profile
2025-07-23 23:12:09,"000.624: require('CopilotChat')",15.537,1.5%,profile
2025-07-23 23:12:10,"003.772: require('telescope._extensions.git_signs')",15.450,1.5%,profile
2025-07-23 23:12:13,"001.431: require('mason-core.installer.InstallLocation')",15.418,1.5%,profile
2025-07-23 23:12:13,"001.371: require('mason-registry')",15.406,1.5%,profile
2025-07-23 23:12:12,"000.800: require('kulala.augroups')",15.390,1.5%,profile
2025-07-23 23:12:12,"004.435: require('lspconfig')",15.361,1.4%,profile
2025-07-23 23:12:11,"000.491: require('litee.gh.commands')",15.346,1.4%,profile
2025-07-23 23:12:12,"001.055: require('render-markdown')",15.335,1.4%,profile
2025-07-23 23:12:13,"012.598: require('harpoon')",15.303,1.4%,profile
2025-07-23 23:12:11,"001.462: require('cmp.core')",15.295,1.4%,profile
2025-07-23 23:12:11,"004.035: require('pieces.copilot.context.ui')",15.280,1.4%,profile
2025-07-23 23:12:13,"000.380: require('formatter.filetypes.any')",15.253,1.4%,profile
2025-07-23 23:12:09,"014.473: require('dap-go')",15.252,1.4%,profile
2025-07-23 23:12:11,"002.819: require('render-markdown')",15.185,1.4%,profile
2025-07-23 23:12:12,"015.170: require('CopilotChat.config.providers')",15.170,1.4%,profile
2025-07-23 23:12:11,"000.607: require('mason-registry.sources.github')",15.158,1.4%,profile
2025-07-23 23:12:11,"003.736: require('telescope._extensions.gpt')",15.055,1.4%,profile
2025-07-23 23:12:13,"011.957: require('telescope')",15.020,1.4%,profile
2025-07-23 23:12:11,"001.011: require('litee.gh.pr')",15.012,1.4%,profile
2025-07-23 23:12:11,"015.009: require('cmp.utils.options')",15.009,1.4%,profile
